method,label,n_vectors,k,build_time_s,memory_mb,latency_mean_ms,latency_p50_ms,latency_p95_ms,qps,recall_at_k
Flat,Flat,1000,10,0.00062,1.4649,0.04993,0.0484,0.06111,20029.04,1.0
IVF,"IVF(nlist=25,nprobe=8)",1000,10,0.00813,1.5094,0.03152,0.0309,0.04061,31721.36,0.9995
HNSW,"HNSW(M=32,efS=64)",1000,10,0.00988,1.7239,0.05746,0.05495,0.069,17403.71,1.0
Flat,Flat,5000,10,0.00445,7.3243,0.40249,0.3635,0.6637,2484.55,1.0
IVF,"IVF(nlist=128,nprobe=8)",5000,10,0.0336,7.551,0.05234,0.04925,0.07722,19106.76,1.0
HNSW,"HNSW(M=32,efS=64)",5000,10,0.06375,8.6186,0.05512,0.0525,0.07655,18140.75,0.995
Flat,Flat,20000,10,0.00983,29.2969,1.24945,1.21935,1.46975,800.35,1.0
IVF,"IVF(nlist=128,nprobe=8)",20000,10,0.22235,29.6381,0.24362,0.223,0.39195,4104.68,1.0
HNSW,"HNSW(M=32,efS=64)",20000,10,0.4943,34.4873,0.15293,0.1432,0.2298,6538.79,0.9115
Flat,Flat,50000,10,0.0291,73.2422,4.4017,4.13185,6.01422,227.18,1.0
IVF,"IVF(nlist=128,nprobe=8)",50000,10,0.41364,73.8123,0.52135,0.48635,0.82483,1918.1,1.0
HNSW,"HNSW(M=32,efS=64)",50000,10,3.74517,86.2242,0.26352,0.2395,0.39072,3794.79,0.8035
Flat,Flat,100000,10,0.05563,146.4844,8.02716,7.7189,10.97108,124.58,1.0
IVF,"IVF(nlist=128,nprobe=8)",100000,10,0.45718,147.4359,1.01684,0.90185,1.82508,983.44,1.0
HNSW,"HNSW(M=32,efS=64)",100000,10,13.43931,172.4442,0.33797,0.29525,0.5793,2958.88,0.696
